Date,BUY,SPY,TQQQ,SPXL,UVXY,SQQQ,TLT,QQQ,SPY_MA200,TQQQ_RSI10,SPXL_RSI10,SPY_RSI10,QQQ_RSI10,UVXY_RSI10,TQQQ_MA20,SQQQ_RSI10,TLT_RSI10,QQQ_5dgain,TQQQ_1dgain,TQQQ_10dSTDreturn
2019-11-13,,294.5664367675781,18.45333,57.83312,176.0,659.95813,129.92326,198.07298278808594,274.71557022094726,72.57450966193237,73.86028278986585,74.75769272020649,73.80187105715697,27.412643461865763,17.3788395,27.726516826906682,42.57936161494263,0.9161030895263655,-0.14874881092938885,1.0556782596449548
2019-11-14,,294.99517822265625,18.44833,58.10063,172.39999,660.20624,131.2654,197.91575622558594,274.92205184936523,72.39202673621624,75.29934726164035,76.0122089498175,72.31314802190563,25.33425010610869,17.478054,27.933953183269587,50.557635360904314,0.4989068446625389,-0.027095380616959375,1.062168838547061
2019-11-15,,297.1298828125,18.7957,59.34904,161.2,648.04913,131.1226,199.36996459960938,275.1385964202881,76.87961480964931,80.78466741180493,81.18524588114006,77.06718101450073,20.07327275643722,17.618253,24.158873390765955,49.74060192171561,0.8348762348710848,1.8829346612945441,0.9025896294704353
2019-11-18,,297.34912109375,18.89317,59.39859,160.8,644.07947,131.36055,199.52719116210938,275.3473081207275,77.99478273154001,80.97102745407348,81.63713497415038,77.53066590736152,19.909209157379195,17.7422085,23.02969545110548,51.20069880340258,1.0499642783867058,0.5185760572897102,0.7935440960312553
2019-11-19,,297.2633056640625,18.97064,59.34904,163.2,642.0946,132.45512,199.8219451904297,275.5502333831787,78.89381449200842,80.10777650892778,80.79318919224775,78.43838355004956,24.047715550014335,17.8890305,22.446818674071327,57.50981257946556,0.9080197702349357,0.41004235922292853,0.7863939769920679
2019-11-20,,296.1578369140625,18.63826,58.72484,165.39999,653.75549,133.82582,198.62318420410156,275.7493236541748,66.03298150265773,69.70584052259959,70.37935510166216,66.3296523680233,27.845176965094737,18.015485,33.442946212488614,63.988061340342945,0.27777711441052677,-1.7520758392969404,1.0074855516776147
2019-11-21,,295.6813659667969,18.49331,58.44741,166.39999,658.46954,132.98819,198.18106079101562,275.95824905395506,61.1989348835603,65.50531900890222,66.28754666258278,62.38320692359079,29.62232748439064,18.111575000000002,37.42805155413569,57.98526108911074,0.13404923917592626,-0.7777013519502218,1.0348360160430443
2019-11-22,,296.33892822265625,18.54329,58.78429,158.7,656.73279,133.15948,198.3087921142578,276.16891204833985,62.2574965279977,68.09900596536056,69.04704460799663,63.08818429803925,24.466696418402044,18.191296,36.53263055479376,58.862128705136946,-0.5322629652278366,0.2702598939832823,0.9740774415196617
2019-11-25,,298.6355285644531,19.18556,60.13178,148.5,633.41095,133.54971,200.65708923339844,276.3903530883789,72.83811909958469,76.08933816316436,76.50892974341062,73.30705709133483,19.477200340348507,18.277265,26.92251388183513,60.9263781046304,0.5662877649448061,3.4636248475863773,1.4239732283778797
2019-11-26,,299.31219482421875,19.30052,60.5281,145.39999,630.18561,134.33023,201.04029846191406,276.5988236999512,74.27250069118448,77.89843408038759,78.22725807205849,74.58291897230507,18.22231156735209,18.3890995,25.87653244815236,64.84658302925412,0.6097194531478056,0.5992006488213075,1.41963375379951
2019-11-27,,300.64642333984375,19.69038,61.31083,144.2,617.53223,133.94002,202.44532775878906,276.80978286743164,78.54229985928161,81.04549981203634,81.23454956960525,78.72551968824533,17.730970315633993,18.5084315,22.12890191428841,61.42339490830558,1.9243189409147377,2.019945576595883,1.483262022836483
2019-11-29,,299.5314636230469,19.42797,60.6569,148.39999,625.96783,133.65443,201.52175903320312,277.0180337524414,69.87007951495113,71.58370136948751,72.00064772243307,70.35101553715067,25.53892333475556,18.614018,29.67350788855273,58.89511565605452,1.685679867114187,-1.3326812382493558,1.6031508096225668
2019-12-02,,296.9869689941406,18.8032,59.06171,158.7,646.31238,131.87245,199.45838928222656,277.19951126098636,54.07503720254254,54.376968185773244,55.89099522267688,55.65463906988737,40.8387087929499,18.6648745,44.1687961719694,45.81957628915847,0.5797005547320433,-3.215827489953904,1.9071227340964823
2019-12-03,,294.99517822265625,18.38085,57.84303,174.3,660.20624,134.63748,197.89614868164062,277.36877380371095,46.225856237586875,45.16202897188459,46.7862521662263,47.335877427636994,56.039419416540795,18.6787445,51.71986905180274,60.81739631885985,-1.3759496673184435,-2.246160228046301,2.0237051098835734
2019-12-04,,296.81536865234375,18.65325,58.91309,162.39999,650.2821,133.29308,198.89833068847656,277.54450561523436,51.292448005557645,52.94213693080562,54.33895353200673,52.40649830877285,46.01790587922887,18.705109999999998,46.70642939728576,52.905624828474984,-1.0654419983579966,1.48197716645313,2.090209544111209
